,provnum,name,address,city,state,zip,county,bedcert,ownership,employee_cases,resident_cases,resident_deaths,cna_hprd,lpn_hprd,rn_hprd,total_hprd,full_address_from_csv,google_address,google_long,google_lat
10,395757,EDGEHILL NURSING AND REHABILITATION CENTER,146 EDGEHILL ROAD,GLENSIDE,PA,19038,MONTGOMERY,60,Non profit - Corporation,10,43,14,1.93091,0.33486,0.92548,3.19126,"146 EDGEHILL ROAD, GLENSIDE, PA, , 19038, USA","146 Edge Hill Rd, Glenside, PA 19038, USA",-75.16224489999999,40.1091902
11,395974,MONTICELLO HOUSE,1048 W BALTIMORE AVENUE,MEDIA,PA,19063,DELAWARE,86,Non profit - Corporation,16,37,20,3.20624,1.16927,0.63657,5.01208,"1048 W BALTIMORE AVENUE, MEDIA, PA, , 19063, USA","1048 W Baltimore Pike, Media, PA 19063, USA",-75.4293821,39.9135736
12,395406,LUTHER ACRES MANOR,400 SAINT LUKE DR,LITITZ,PA,17543,LANCASTER,106,Non profit - Corporation,12,42,24,2.43313,1.00778,0.60678,4.04769,"400 SAINT LUKE DR, LITITZ, PA, , 17543, USA","400 St Luke Dr, Lititz, PA 17543, USA",-76.29197909999999,40.1522233
13,395052,ROSEWOOD GARDENS REHABILITATION AND NURSING CENTER,146 MARPLE ROAD,BROOMALL,PA,19008,DELAWARE,146,Non profit - Church related,31,57,33,2.47228,0.745,1.00405,4.22133,"146 MARPLE ROAD, BROOMALL, PA, , 19008, USA","146 Marple Rd, Broomall, PA 19008, USA",-75.357366,39.985506
14,396130,WHITESTONE CARE CENTER,370 WHITE STONE CORNER ROAD,STROUDSBURG,PA,18360,MONROE,90,For profit - Corporation,17,36,20,2.0319700000000003,1.05553,0.70477,3.79227,"370 WHITE STONE CORNER ROAD, STROUDSBURG, PA, , 18360, USA","370 White Stone Corner Rd, Stroudsburg, PA 18360, USA",-75.244248,40.991858
15,395535,LAUREL SQUARE HEALTHCARE AND REHABILITATION CENTER,1020 OAK LANE AVENUE,PHILADELPHIA,PA,19126,PHILADELPHIA,87,For profit - Partnership,15,63,19,2.34309,0.68362,0.66569,3.6924,"1020 OAK LANE AVENUE, PHILADELPHIA, PA, , 19126, USA","1020 Oak Ln, Philadelphia, PA 19126, USA",-75.1354291,40.0545249
16,395520,WESLEY ENHANCED LIVING - DOYLESTOWN,200 VETERANS LANE,DOYLESTOWN,PA,18901,BUCKS,60,Non profit - Corporation,12,33,13,1.83644,0.96592,1.03357,3.83593,"200 VETERANS LANE, DOYLESTOWN, PA, , 18901, USA","200 Veterans Ln, Doylestown, PA 18901, USA",-75.13419760000001,40.3196102
17,395224,HAMILTON ARMS CENTER,336 SOUTH WEST END AVENUE,LANCASTER,PA,17603,LANCASTER,94,For profit - Partnership,26,62,20,1.83924,0.77569,0.70238,3.31731,"336 SOUTH WEST END AVENUE, LANCASTER, PA, , 17603, USA","336 S West End Ave, Lancaster, PA 17603, USA",-76.3250588,40.0343286
18,395557,DOCK TERRACE,275 DOCK DRIVE,LANSDALE,PA,19446,MONTGOMERY,72,Non profit - Corporation,20,48,15,2.77047,0.29805,1.17952,4.2480400000000005,"275 DOCK DRIVE, LANSDALE, PA, , 19446, USA","275 Dock Dr, Lansdale, PA 19446, USA",-75.337497,40.257283
19,395380,SAUNDERS HOUSE,100 LANCASTER AVENUE,WYNNEWOOD,PA,19096,MONTGOMERY,180,Non profit - Corporation,34,106,37,2.43177,0.79881,0.75151,3.98209,"100 LANCASTER AVENUE, WYNNEWOOD, PA, , 19096, USA","100 Lancaster Ave, Wynnewood, PA 19096, USA",-75.25734,39.9885015
20,395605,ST. BARNABAS NURSING HOME,5827 MERIDIAN ROAD,GIBSONIA,PA,15044,ALLEGHENY,152,Non profit - Corporation,14,62,31,1.83903,0.47139,0.78022,3.09064,"5827 MERIDIAN ROAD, GIBSONIA, PA, , 15044, USA","5827 Meridian Rd, Gibsonia, PA 15044, USA",-79.9601553,40.6502628
21,395492,WILLOWBROOKE COURT SKILLED CARE CENTER AT LIMA ESTATES,411 N. MIDDLETOWN ROAD,LIMA,PA,19037,DELAWARE,60,Non profit - Corporation,10,50,12,2.54892,0.5395800000000001,1.00993,4.0984300000000005,"411 N. MIDDLETOWN ROAD, LIMA, PA, , 19037, USA","411 Middletown Rd, Media, PA 19063, USA",-75.44188319999999,39.9219155
22,395490,WILLOWBROOKE COURT AT SOUTHAMPTON ESTATES,238 STREET ROAD,SOUTHAMPTON,PA,18966,BUCKS,120,Non profit - Corporation,20,69,24,2.23132,0.44763,0.7915300000000001,3.47048,"238 STREET ROAD, SOUTHAMPTON, PA, , 18966, USA","238 Street Rd, Southampton, PA 18966, USA",-75.05547729999999,40.1775334
23,395193,ROSEMONT CENTER,35 ROSEMONT AVENUE,ROSEMONT,PA,19010,MONTGOMERY,76,For profit - Corporation,0,33,15,1.92053,0.6236,0.8117800000000001,3.3559,"35 ROSEMONT AVENUE, ROSEMONT, PA, , 19010, USA","35 Rosemont Ave, Bryn Mawr, PA 19010, USA",-75.3251384,40.0268519
24,395432,TWINING HALL,280 MIDDLE HOLLAND ROAD,HOLLAND,PA,18966,BUCKS,66,Non profit - Corporation,9,37,13,,,,,"280 MIDDLE HOLLAND ROAD, HOLLAND, PA, , 18966, USA","280 Middle Holland Rd, Southampton, PA 18966, USA",-74.9715562,40.204982
25,395519,GREEN MEADOWS NURSING & REHABILITATION CENTER,283 EAST LANCASTER AVENUE,MALVERN,PA,19355,CHESTER,184,For profit - Corporation,25,48,36,1.9026,0.8550399999999999,0.47807,3.23571,"283 EAST LANCASTER AVENUE, MALVERN, PA, , 19355, USA","283 E Lancaster Ave, Paoli, PA 19301, USA",-75.5042453,40.0424989
26,395704,"LAFAYETTE-REDEEMER, THE (A D/B/A ENTITY OF HRHS)",8580 VERREE ROAD,PHILADELPHIA,PA,19111,PHILADELPHIA,120,Non profit - Corporation,70,77,23,2.27778,0.98165,0.98286,4.2423,"8580 VERREE ROAD, PHILADELPHIA, PA, , 19111, USA","8580 Verree Rd, Philadelphia, PA 19111, USA",-75.06607,40.083779
27,395483,REGINA COMMUNITY NURSING CENTER,550 EAST FORNANCE STREET,NORRISTOWN,PA,19401,MONTGOMERY,121,Non profit - Corporation,8,58,23,2.66495,0.43163,0.76564,3.86221,"550 EAST FORNANCE STREET, NORRISTOWN, PA, , 19401, USA","550 E Fornance St, Norristown, PA 19401, USA",-75.3285093,40.1181554
28,395939,LEHIGH CENTER,1718 SPRING CREEK ROAD,MACUNGIE,PA,18062,LEHIGH,128,For profit - Corporation,37,78,24,1.7597200000000002,0.97002,0.6671,3.3968300000000005,"1718 SPRING CREEK ROAD, MACUNGIE, PA, , 18062, USA","1718 Spring Creek Rd, Macungie, PA 18062, USA",-75.5730188,40.5457768
29,395717,LINWOOD NURSING AND REHABILITATION CENTER,100 LYNWOOD AVENUE,SCRANTON,PA,18505,LACKAWANNA,102,Non profit - Corporation,16,53,19,1.84234,0.8287200000000001,0.81197,3.4830400000000004,"100 LYNWOOD AVENUE, SCRANTON, PA, , 18505, USA","100 Lynwood Ave, Scranton, PA 18505, USA",-75.6409935,41.39258220000001
30,395359,MANORCARE HEALTH SERVICES-JERSEY SHORE,1008 THOMPSON STREET,JERSEY SHORE,PA,17740,LYCOMING,120,Non profit - Other,17,77,22,1.82781,0.9809,0.41437,3.22309,"1008 THOMPSON STREET, JERSEY SHORE, PA, , 17740, USA","1008 Thompson St, Jersey Shore, PA 17740, USA",-77.26754430000001,41.2018609
31,395736,WILLOWBROOKE COURT AT GRANITE FARMS ESTATES,1343 WEST BALTIMORE PIKE,MEDIA,PA,19063,DELAWARE,82,Non profit - Corporation,25,37,15,2.26961,0.70933,1.09421,4.07316,"1343 WEST BALTIMORE PIKE, MEDIA, PA, , 19063, USA","1343 W Baltimore Pike, Media, PA 19063, USA",-75.4518169,39.9097432
32,395260,CARBONDALE NURSING & REHABILITATION CENTER,10 HART PLACE,CARBONDALE,PA,18407,LACKAWANNA,115,For profit - Corporation,9,81,21,1.8599900000000005,0.67052,0.70349,3.234,"10 HART PLACE, CARBONDALE, PA, , 18407, USA","10 Hart Pl, Carbondale, PA 18407, USA",-75.5003338,41.5841656
33,395685,MANORCARE HEALTH SERVICES - WALLINGFORD,115 SOUTH PROVIDENCE ROAD,WALLINGFORD,PA,19086,DELAWARE,193,Non profit - Corporation,33,152,35,1.80252,0.50569,0.97055,3.27876,"115 SOUTH PROVIDENCE ROAD, WALLINGFORD, PA, , 19086, USA","115 S Providence Rd, Wallingford, PA 19086, USA",-75.3733262,39.89716060000001
34,395542,MOUNTAIN TOP HEALTHCARE AND REHABILITATION CENTER,185 SOUTH MOUNTAIN BOULEVARD,MOUNTAIN TOP,PA,18707,LUZERNE,106,For profit - Corporation,21,59,19,1.89538,0.74916,0.58019,3.22474,"185 SOUTH MOUNTAIN BOULEVARD, MOUNTAIN TOP, PA, , 18707, USA","185 S Mountain Blvd, Mountain Top, PA 18707, USA",-75.89579599999999,41.151977
35,395844,ELIZABETHTOWN HEALTHCARE AND REHAB CENTER,141 HEISEY AVENUE,ELIZABETHTOWN,PA,17022,LANCASTER,45,For profit - Corporation,7,45,8,1.99535,1.10066,0.48085,3.57686,"141 HEISEY AVENUE, ELIZABETHTOWN, PA, , 17022, USA","141 Heisey Ave, Elizabethtown, PA 17022, USA",-76.57379499999999,40.130282
36,395848,BARCLAY FRIENDS,700 NORTH FRANKLIN,WEST CHESTER,PA,19380,CHESTER,96,Non profit - Corporation,17,37,17,2.45905,1.25552,0.59128,4.30585,"700 NORTH FRANKLIN, WEST CHESTER, PA, , 19380, USA","700 N Franklin St, West Chester, PA 19380, USA",-75.6083057,39.9708824
37,395110,OAKWOOD HEALTHCARE & REHABILITATION CENTER,2109 RED LION ROAD,PHILADELPHIA,PA,19115,PHILADELPHIA,148,For profit - Corporation,21,93,26,2.06715,0.76225,0.67225,3.50165,"2109 RED LION ROAD, PHILADELPHIA, PA, , 19115, USA","2109 Red Lion Rd, Philadelphia, PA 19115, USA",-75.0166189,40.096584
38,395525,IVY HILL REHAB CENTER,1401 IVY HILL ROAD,PHILADELPHIA,PA,19150,MONTGOMERY,145,For profit - Corporation,26,77,25,2.11801,0.75662,0.5366,3.41123,"1401 IVY HILL ROAD, PHILADELPHIA, PA, , 19150, USA","1401 Ivy Hill Rd, Philadelphia, PA 19150, USA",-75.1788894,40.0835054
39,39A435,SOUTHEASTERN PENNSYLVANIA VETERANS' CENTER,ONE VETERANS DRIVE,SPRING CITY,PA,19475,CHESTER,238,Government - State,42,87,41,2.40543,0.71255,0.8214899999999999,3.93946,"ONE VETERANS DRIVE, SPRING CITY, PA, , 19475, USA","1 Veterans Dr, Spring City, PA 19475, USA",-75.56269879999999,40.1904879
40,396077,OLD ORCHARD HEALTH CARE CENTER,4100 FREEMANSBURG AVENUE,EASTON,PA,18045,NORTHAMPTON,180,Non profit - Corporation,36,109,31,1.86132,0.7254,0.63057,3.21728,"4100 FREEMANSBURG AVENUE, EASTON, PA, , 18045, USA","4100 Freemansburg Ave, Easton, PA 18045, USA",-75.2769809,40.6567125
41,395104,"ST. MARY'S VILLA NURSING HOME, INC.",516 ST. MARY'S VILLA ROAD,MOSCOW,PA,18444,LACKAWANNA,112,Non profit - Corporation,0,0,19,2.55024,1.02135,0.8846799999999999,4.45627,"516 ST. MARY'S VILLA ROAD, MOSCOW, PA, , 18444, USA","516 Saint Mary's Villa Road, Elmhurst Township, PA 18444, USA",-75.5598247,41.3759311
42,395918,"SHOOK HOME, THE",55 SOUTH SECOND STREET,CHAMBERSBURG,PA,17201,FRANKLIN,65,Non profit - Corporation,11,28,11,2.72499,1.02568,0.77699,4.52766,"55 SOUTH SECOND STREET, CHAMBERSBURG, PA, , 17201, USA","55 S 2nd St, Chambersburg, PA 17201, USA",-77.65961300000001,39.936099
43,395818,MASONIC VILLAGE AT LAFAYETTE HILL,801 RIDGE PIKE,LAFAYETTE HILL,PA,19444,MONTGOMERY,60,Non profit - Corporation,17,25,10,2.10506,0.5101600000000001,0.97419,3.58942,"801 RIDGE PIKE, LAFAYETTE HILL, PA, , 19444, USA","801 Ridge Pike, Lafayette Hill, PA 19444, USA",-75.2483618,40.0785981
44,395648,PETER BECKER COMMUNITY,800 MAPLE AVENUE,HARLEYSVILLE,PA,19438,MONTGOMERY,72,Non profit - Corporation,8,39,12,2.52091,0.34645,1.37131,4.23867,"800 MAPLE AVENUE, HARLEYSVILLE, PA, , 19438, USA","800 Maple Ave, Harleysville, PA 19438, USA",-75.37651389999999,40.288719
45,395498,WESLEY ENHANCED LIVING MAIN LINE REHAB AND SKD NURSING,100 HALCYON DRIVE,MEDIA,PA,19063,DELAWARE,60,Non profit - Corporation,17,22,10,2.0003,0.85644,1.07241,3.92916,"100 HALCYON DRIVE, MEDIA, PA, , 19063, USA","100 Halcyon Dr, Media, PA 19063, USA",-75.38237099999999,39.959177
46,395740,BRANDYWINE HALL,800 WEST MINER STREET,WEST CHESTER,PA,19382,CHESTER,180,For profit - Partnership,0,115,30,1.73888,0.8918799999999999,0.50192,3.13268,"800 WEST MINER STREET, WEST CHESTER, PA, , 19382, USA","800 W Miner St, West Chester, PA 19382, USA",-75.61580769999999,39.9469483
47,396062,"INN AT FREEDOM VILLAGE, THE",35 FREEDOM BOULEVARD,WEST BRANDYWINE,PA,19320,CHESTER,60,For profit - Corporation,5,15,10,2.4033900000000004,1.23373,1.49696,5.13408,"35 FREEDOM BOULEVARD, WEST BRANDYWINE, PA, , 19320, USA","35 Freedom Blvd, Coatesville, PA 19320, USA",-75.786543,40.0146613
48,395774,CONESTOGA VIEW,900 EAST KING STREET,LANCASTER,PA,17602,LANCASTER,446,For profit - Partnership,55,96,74,1.83591,1.02335,0.40949,3.26875,"900 EAST KING STREET, LANCASTER, PA, , 17602, USA","900 E King St, Lancaster, PA 17602, USA",-76.2847489,40.0391273
49,395662,"SPRINGS AT THE WATERMARK, THE",2 FRANKLIN TOWN BLVD,PHILADELPHIA,PA,19103,PHILADELPHIA,109,For profit - Corporation,0,59,18,2.09984,1.00291,1.00187,4.10462,"2 FRANKLIN TOWN BLVD, PHILADELPHIA, PA, , 19103, USA","2 Franklin Town Blvd, Philadelphia, PA 19103, USA",-75.1681273,39.9599112
50,395817,MANORCARE HEALTH SERVICES-OXFORD VALLEY,1480 OXFORD VALLEY ROAD,YARDLEY,PA,19067,BUCKS,170,Non profit - Other,47,110,28,1.90922,0.6887800000000001,1.00625,3.60425,"1480 OXFORD VALLEY ROAD, YARDLEY, PA, , 19067, USA","1480 Oxford Valley Rd, Morrisville, PA 19067, USA",-74.85701809999999,40.2127034
51,396054,MASONIC VILLAGE AT WARMINSTER,850 NORRISTOWN ROAD,WARMINSTER,PA,18974,BUCKS,43,Non profit - Corporation,11,12,7,2.18229,0.20603,1.02398,3.41231,"850 NORRISTOWN ROAD, WARMINSTER, PA, , 18974, USA","850 N Norristown Rd, Warminster, PA 18974, USA",-75.10267850000001,40.2170349
52,395938,BERKSHIRE CENTER,5501 PERKIOMEN AVENUE,READING,PA,19606,BERKS,130,For profit - Corporation,9,76,21,1.95761,0.81409,0.58111,3.35281,"5501 PERKIOMEN AVENUE, READING, PA, , 19606, USA","5501 Perkiomen Ave, Reading, PA 19606, USA",-75.84272829999999,40.298785
53,395796,MANORCARE HEALTH SERVICES-MONTGOMERYVILLE,640 BETHLEHEM PIKE,MONTGOMERYVILLE,PA,18936,MONTGOMERY,155,For profit - Corporation,32,102,25,1.58631,0.6806800000000001,0.84872,3.11571,"640 BETHLEHEM PIKE, MONTGOMERYVILLE, PA, , 18936, USA","640 Bethlehem Pike, Montgomeryville, PA 18936, USA",-75.248663,40.2566389
54,395881,MOUNTAIN VIEW CARE AND REHABILITATION CENTER,2309 STAFFORD AVENUE,SCRANTON,PA,18505,LACKAWANNA,180,For profit - Corporation,34,110,29,2.41466,1.14462,0.4516600000000001,4.01094,"2309 STAFFORD AVENUE, SCRANTON, PA, , 18505, USA","2309 Stafford Ave, Scranton, PA 18505, USA",-75.6730954,41.3772988
55,395479,GWYNEDD HEALTHCARE AND REHABILITATION CENTER,773 SUMNEYTOWN PIKE,LANSDALE,PA,19446,MONTGOMERY,181,For profit - Corporation,13,62,29,2.25016,0.50031,0.59543,3.3459,"773 SUMNEYTOWN PIKE, LANSDALE, PA, , 19446, USA","773 Sumneytown Pike, Lansdale, PA 19446, USA",-75.2973483,40.2202687
56,395691,RIVERSTREET MANOR,440 NORTH RIVER STREET,WILKES-BARRE,PA,18702,LUZERNE,122,For profit - Corporation,22,83,19,1.82907,0.92042,0.44695,3.19644,"440 NORTH RIVER STREET, WILKES-BARRE, PA, , 18702, USA","440 N River St, Wilkes-Barre, PA 18702, USA",-75.87200419999999,41.2558639
57,395332,WAYNE CENTER,30 WEST AVENUE,WAYNE,PA,19087,DELAWARE,112,For profit - Corporation,10,65,17,1.76162,0.61623,1.00871,3.38655,"30 WEST AVENUE, WAYNE, PA, , 19087, USA","30 West Ave, Strafford, PA 19087, USA",-75.389173,40.0449777
58,395148,TIMBER RIDGE HEALTH CENTER,1555 EAST END BOULEVARD PLAINS TWP,WILKES BARRE,PA,18711,LUZERNE,180,For profit - Corporation,31,82,27,2.19318,0.8657600000000001,0.45343,3.5123800000000003,"1555 EAST END BOULEVARD PLAINS TWP, WILKES BARRE, PA, , 18711, USA","1555 East End Blvd, Wilkes-Barre, PA 18702, USA",-75.8338412,41.2487907
59,396117,WELLINGTON COURT NURSING AND REHAB CENTER,1361 EAST BOOT ROAD,WEST CHESTER,PA,19380,CHESTER,40,For profit - Corporation,13,25,6,2.55125,0.70255,1.7120799999999998,4.96588,"1361 EAST BOOT ROAD, WEST CHESTER, PA, , 19380, USA","1361 Boot Rd, West Chester, PA 19380, USA",-75.5705175,39.99922129999999
60,395916,KIRKLAND VILLAGE,2335 MADISON AVENUE,BETHLEHEM,PA,18017,NORTHAMPTON,60,Non profit - Corporation,21,35,9,1.95103,0.58207,1.53564,4.06874,"2335 MADISON AVENUE, BETHLEHEM, PA, , 18017, USA","2335 Madison Ave, Bethlehem, PA 18017, USA",-75.3704216,40.6429519
61,395078,BROOMALL REHABILITATION AND NURSING CENTER,50 NORTH MALIN ROAD,BROOMALL,PA,19008,DELAWARE,298,For profit - Corporation,27,180,44,2.04984,0.8707299999999999,0.6502399999999999,3.57081,"50 NORTH MALIN ROAD, BROOMALL, PA, , 19008, USA","50 N Malin Rd, Broomall, PA 19008, USA",-75.36767929999999,39.9864113
62,395545,PAPERMILL ROAD NURSING AND REHABILITATION CENTER,850 PAPERMILL ROAD,GLENSIDE,PA,19038,MONTGOMERY,129,For profit - Partnership,0,68,19,2.1619900000000003,1.1921700000000002,0.42433,3.77849,"850 PAPERMILL ROAD, GLENSIDE, PA, , 19038, USA","850 Paper Mill Rd, Glenside, PA 19038, USA",-75.2056858,40.091062
63,395989,PROVIDENCE REHAB AND HEALTHCARE CENTER AT MERCY FITZGERALD,600 SOUTH WYCOMBE AVE,YEADON,PA,19050,DELAWARE,129,For profit - Partnership,37,32,19,1.86503,1.01747,0.57014,3.45264,"600 SOUTH WYCOMBE AVE, YEADON, PA, , 19050, USA","600 S Wycombe Ave, Lansdowne, PA 19050, USA",-75.2642162,39.9292753
64,396083,STERLING HEALTH CARE AND REHAB CENTER,318 SOUTH ORANGE STREET,MEDIA,PA,19063,DELAWARE,164,For profit - Corporation,32,124,24,2.04988,1.07369,0.52513,3.64869,"318 SOUTH ORANGE STREET, MEDIA, PA, , 19063, USA","318 S Orange St, Media, PA 19063, USA",-75.3940906,39.9162591
65,395449,CHAPEL MANOR,1104 WELSH ROAD,PHILADELPHIA,PA,19115,PHILADELPHIA,238,For profit - Partnership,50,133,33,1.8880000000000001,0.5269699999999999,0.78678,3.20174,"1104 WELSH ROAD, PHILADELPHIA, PA, , 19115, USA","1104 Welsh Rd, Philadelphia, PA 19115, USA",-75.0481095,40.089847
66,395574,BELLE HAVEN HEALTHCARE AND REHABILITATION CENTER,1320 MILL ROAD,QUAKERTOWN,PA,18951,BUCKS,59,For profit - Corporation,*,28,8,1.67734,0.74119,0.7765,3.19502,"1320 MILL ROAD, QUAKERTOWN, PA, , 18951, USA","1320 Mill Rd, Quakertown, PA 18951, USA",-75.3527412,40.4362579
67,395738,PAUL'S RUN,9896 BUSTLETON AVENUE,PHILADELPHIA,PA,19115,PHILADELPHIA,120,Non profit - Corporation,45,30,16,2.4420900000000003,0.62432,1.0516,4.11801,"9896 BUSTLETON AVENUE, PHILADELPHIA, PA, , 19115, USA","9896 Bustleton Ave, Philadelphia, PA 19115, USA",-75.0319999,40.0962229
68,395167,VALLEY MANOR REHABILITATION AND HEALTHCARE CENTER,7650 ROUTE 309,COOPERSBURG,PA,18036,BUCKS,180,For profit - Corporation,21,120,24,1.61756,0.64808,0.58005,2.84568,"7650 ROUTE 309, COOPERSBURG, PA, , 18036, USA","7650 PA-309, Coopersburg, PA 18036, USA",-75.3873947,40.5016846
69,395015,BRIGHTON REHABILITATION AND WELLNESS CENTER,246 FRIENDSHIP CIRCLE,BEAVER,PA,15009,BEAVER,589,For profit - Corporation,104,331,78,2.31441,0.71406,0.4951,3.52357,"246 FRIENDSHIP CIRCLE, BEAVER, PA, , 15009, USA","246 Friendship Cir, Beaver, PA 15009, USA",-80.327088,40.7066156
70,395321,RYDAL PARK OF PHILADELPHIA PRESBYTERY HOMES INC,1515 FAIRWAY,RYDAL,PA,19046,MONTGOMERY,114,Non profit - Corporation,28,30,15,2.71924,1.04463,1.06335,4.82722,"1515 FAIRWAY, RYDAL, PA, , 19046, USA","1515 The Fairway, Jenkintown, PA 19046, USA",-75.1141248,40.1086923
71,395922,ARTMAN LUTHERAN HOME,250 NORTH BETHLEHEM PIKE,AMBLER,PA,19002,MONTGOMERY,61,Non profit - Corporation,*,36,8,2.66732,1.0469,1.08592,4.80014,"250 NORTH BETHLEHEM PIKE, AMBLER, PA, , 19002, USA","250 N Bethlehem Pike, Ambler, PA 19002, USA",-75.2211961,40.1668566
72,395284,"PHOENIX CENTER FOR REHABILITATION AND NURSING, THE",833 SOUTH MAIN STREET,PHOENIXVILLE,PA,19460,CHESTER,138,For profit - Corporation,23,59,18,2.10515,0.84526,0.75953,3.70995,"833 SOUTH MAIN STREET, PHOENIXVILLE, PA, , 19460, USA","833 S Main St, Phoenixville, PA 19460, USA",-75.5137681,40.1212804
73,395403,NEWPORT MEADOWS HEALTH AND REHABILITATION CENTER,41 NEWPORT AVENUE,CHRISTIANA,PA,17509,LANCASTER,139,For profit - Corporation,0,32,18,2.01752,1.04482,0.36995,3.43229,"41 NEWPORT AVENUE, CHRISTIANA, PA, , 17509, USA","41 Newport Ave, Christiana, PA 17509, USA",-75.99163159999999,39.9596478
74,395360,GERMANTOWN HOME,6950 GERMANTOWN AVENUE,PHILADELPHIA,PA,19119,PHILADELPHIA,180,Non profit - Corporation,29,84,23,2.1668,0.73325,0.66146,3.5615,"6950 GERMANTOWN AVENUE, PHILADELPHIA, PA, , 19119, USA","6950 Germantown Ave, Philadelphia, PA 19119, USA",-75.1891876,40.05515339999999
75,395459,CRESTVIEW CENTER,262 TOLL GATE ROAD,LANGHORNE,PA,19047,BUCKS,180,For profit - Corporation,23,110,23,1.77755,0.83419,0.63075,3.2425,"262 TOLL GATE ROAD, LANGHORNE, PA, , 19047, USA","262 Tollgate Rd, Langhorne, PA 19047, USA",-74.92329769999999,40.2060971
76,395227,BROOKSIDE HEALTHCARE AND REHABILITATION CENTER,2630 WOODLAND ROAD,ROSLYN,PA,19001,MONTGOMERY,120,For profit - Corporation,19,46,15,1.98034,0.79972,0.67743,3.45749,"2630 WOODLAND ROAD, ROSLYN, PA, , 19001, USA","2630 Woodland Rd, Abington, PA 19001, USA",-75.138671,40.130831
